,loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/training/learning_rate,config/training/gamma_scheduler,config/model/hidden_size_ODE,config/model/n_layers_hidden_ODE,config/model/activation_ODE,logdir
48,inf,,24.0,1729253639,,True,25,41fca2be,2024-10-18_14-13-59,0.03857088088989258,1.632413625717163,1915995,zimmerib,139.11.222.200,1.632413625717163,25,0.27592742140885657,0.999156433170737,16,3,leaky_relu,41fca2be
49,inf,,24.0,1729253643,,True,25,46dbe8a8,2024-10-18_14-14-03,0.03775191307067871,1.6402833461761475,1916096,zimmerib,139.11.222.200,1.6402833461761475,25,0.28052381984467784,0.999539193994734,25,3,leaky_relu,46dbe8a8
50,0.19271384179592133,,24.0,1729253647,,True,25,41269c3d,2024-10-18_14-14-07,0.039536476135253906,1.6887879371643066,1916195,zimmerib,139.11.222.200,1.6887879371643066,25,0.16667964546425865,0.9993479870026035,29,3,elu,41269c3d
51,433.14361572265625,,24.0,1729253651,,True,25,b33dc817,2024-10-18_14-14-11,0.035883426666259766,1.593360424041748,1916296,zimmerib,139.11.222.200,1.593360424041748,25,0.2109764597266445,0.9990717559497186,70,2,elu,b33dc817
52,0.08136250823736191,,24.0,1729253654,,True,25,7e4d991d,2024-10-18_14-14-14,0.024896621704101562,1.5148851871490479,1916380,zimmerib,139.11.222.200,1.5148851871490479,25,0.04025358050821572,0.9990597051260942,92,1,none,7e4d991d
53,0.08194202929735184,,24.0,1729253658,,True,25,15913a73,2024-10-18_14-14-18,0.025002002716064453,1.3649942874908447,1916481,zimmerib,139.11.222.200,1.3649942874908447,25,0.04501567448597238,0.9992131856356476,91,1,none,15913a73
54,104.928955078125,,24.0,1729253662,,True,25,803b5e6b,2024-10-18_14-14-22,0.034491777420043945,1.54714035987854,1916583,zimmerib,139.11.222.200,1.54714035987854,25,0.12780519110895044,0.9991972969485616,80,2,relu,803b5e6b
55,0.00046597616164945066,,,1729253668,,True,51,88506d68,2024-10-18_14-14-28,0.0003485679626464844,3.3842058181762695,1916684,zimmerib,139.11.222.200,3.3842058181762695,51,0.013586284829827398,0.9998690694415525,81,4,relu,88506d68
56,0.00047721629380248487,,,1729253672,,True,51,336fd371,2024-10-18_14-14-32,0.0005512237548828125,3.586906671524048,1916769,zimmerib,139.11.222.200,3.586906671524048,51,0.005969409737869596,0.9999322577980227,93,4,relu,336fd371
57,0.0006249925936572254,,,1729253676,,True,51,b13047f3,2024-10-18_14-14-36,0.0006918907165527344,3.3397140502929688,1916868,zimmerib,139.11.222.200,3.3397140502929688,51,0.02210395249338977,0.9996163601163327,82,4,relu,b13047f3
