,mean,std
138,1.5877865138236302e-06,5.11965927712552e-07
139,1.5865095548406316e-06,5.124173209503429e-07
140,1.585174913998344e-06,5.116245926492347e-07
141,1.5826600616719588e-06,5.120785782084467e-07
142,1.5812749438737228e-06,5.111809803575795e-07
143,1.5800110730879169e-06,5.117280310170785e-07
144,1.5794183667594552e-06,5.116294789120657e-07
145,1.5788038751907152e-06,5.125801565615625e-07
146,1.5785296767489854e-06,5.134071699205398e-07
147,1.5779026512063865e-06,5.137030353406932e-07
148,1.5767655128229308e-06,5.13732992304539e-07
149,1.5756043865167157e-06,5.132178508811805e-07
150,1.5743137851131905e-06,5.133622327031047e-07
151,1.5738377072693766e-06,5.134290407815055e-07
152,1.5735077880663084e-06,5.141617615169298e-07
153,1.5733751155266873e-06,5.143776156066012e-07
154,1.572804450233889e-06,5.148018477633478e-07
155,1.5721249582156815e-06,5.148296888164921e-07
156,1.5712100207565527e-06,5.149935076036327e-07
157,1.5704450930797975e-06,5.150490172529003e-07
158,1.569757969832608e-06,5.151833691309768e-07
159,1.5691754526869772e-06,5.154361567059407e-07
160,1.568739349977477e-06,5.157260255669004e-07
161,1.5682879848100129e-06,5.161495550470818e-07
162,1.5678523510587183e-06,5.163644845822903e-07
163,1.5672782183173695e-06,5.166242670041129e-07
164,1.5666882262621584e-06,5.167059410087575e-07
165,1.5660531147432266e-06,5.169387367222928e-07
166,1.5655933651714804e-06,5.17148857364512e-07
167,1.5651486648948776e-06,5.174932404721126e-07
168,1.5647843270016892e-06,5.177536885238915e-07
169,1.5643331181536269e-06,5.180532028810928e-07
170,1.563834629791927e-06,5.182516985433261e-07
171,1.5633077623533609e-06,5.184788322628217e-07
172,1.5628111924570476e-06,5.186772852409954e-07
173,1.5623350861915242e-06,5.189022776770967e-07
174,1.561899836133307e-06,5.191436154256111e-07
175,1.5614768358318543e-06,5.193982535216668e-07
176,1.5610621062478458e-06,5.196563981254732e-07
177,1.560655178423076e-06,5.198901408448492e-07
178,1.5602198857322946e-06,5.20106238766998e-07
179,1.5597876341644223e-06,5.202945986446174e-07
180,1.5593496129895357e-06,5.205078412155049e-07
181,1.5589485400369085e-06,5.207106482713673e-07
182,1.5585575283694197e-06,5.209440603322456e-07
183,1.5581720447244152e-06,5.211543626439072e-07
184,1.5577652021647737e-06,5.213745287826019e-07
185,1.5573610738783827e-06,5.215702426660672e-07
186,1.5569464721920667e-06,5.217738551909619e-07
187,1.5565477866630317e-06,5.2195856524289e-07
188,1.5561471258251913e-06,5.221544948284974e-07
189,1.5557562846879591e-06,5.22342233411324e-07
190,1.5553692236380812e-06,5.225383186935398e-07
191,1.554989410124108e-06,5.22718843088348e-07
192,1.5546003453437152e-06,5.229013304654895e-07
193,1.554208751031183e-06,5.230720138484231e-07
194,1.5538162898565133e-06,5.232453383067633e-07
195,1.5534322272969803e-06,5.23411493955477e-07
196,1.5530440151678704e-06,5.23577452188559e-07
197,1.5526621552908182e-06,5.237383948503169e-07
198,1.5522782632615417e-06,5.238949262437474e-07
199,1.5518952380944029e-06,5.240437767739151e-07
