,mean,std
171,1.8812000632806303e-06,1.4266846059045865e-06
172,1.873481949132838e-06,1.4278734114963875e-06
173,1.8675132906764702e-06,1.4294462995374426e-06
174,1.8661998666402724e-06,1.4326297183953478e-06
175,1.8769726892742256e-06,1.4402330259828755e-06
176,1.921537531757167e-06,1.4637281324516302e-06
177,2.051890248822019e-06,1.5549574571650506e-06
178,2.4163306733271384e-06,1.975072255908556e-06
179,3.069330887228716e-06,3.037846762231479e-06
180,3.9161980538438e-06,4.609485721303337e-06
181,3.237130641764452e-06,3.350537828740494e-06
182,2.013635537423397e-06,1.5466760799120225e-06
183,2.0010553782867646e-06,1.5412522365210277e-06
184,2.7551076016152365e-06,2.5293304252679756e-06
185,2.431460472962499e-06,2.034805976557974e-06
186,1.7728607843991995e-06,1.4439954982961933e-06
187,2.2989196395428735e-06,1.86613683819894e-06
188,2.391452497363389e-06,1.9937563181289616e-06
189,1.7675507280046077e-06,1.450149892743248e-06
190,2.1043011173560444e-06,1.6581839372177717e-06
191,2.2487725459541252e-06,1.8214209006845452e-06
192,1.7501848788015195e-06,1.4537780081653652e-06
193,2.011712382454789e-06,1.5860609834369152e-06
194,2.099658033216656e-06,1.6684707048644029e-06
195,1.7206168934080779e-06,1.4560889477078226e-06
196,1.962072389005698e-06,1.5578817176592227e-06
197,1.9669291759782936e-06,1.5643220885004843e-06
198,1.7002182488567996e-06,1.4599373756192109e-06
199,1.927257997635934e-06,1.5428077511273244e-06
